dates,posts,sentence_tokenize,word_tokenize
"28,July,2004","


	 

      hello!  bcnm40 runs have finally ended with a very smooth win by the static.  congrats, and your gils are already in your boxes due to a quick sell of ni.
  
  wednesday will hold xping goodness at the 10pm edt usual.  
  thursday is off.
  friday will hold genkai 1 madness as we head out for our last mold and a few more papers.
  saturday will conclude genkai 1 with explosure madness (bomb coals).
  sunday is off.
  
  between runs, we'll keep hunting keys in fei'yin.  see you there!
  

    
","['\n\n\n\t \n\n      hello!', 'bcnm40 runs have finally ended with a very smooth win by the static.', 'congrats, and your gils are already in your boxes due to a quick sell of ni.', 'wednesday will hold xping goodness at the 10pm edt usual.', 'thursday is off.', 'friday will hold genkai 1 madness as we head out for our last mold and a few more papers.', 'saturday will conclude genkai 1 with explosure madness (bomb coals).', 'sunday is off.', ""between runs, we'll keep hunting keys in fei'yin."", 'see you there!']","['see', 'you', 'there', '!']"
"27,July,2004","


	 

      until genkai 1 is done! 
 
 thanks to shari's deft handling of getting the genkai 1 alliance going&nbsp;on friday/saturday, our genkai experience was only mildly horrible instead of as excruciatingly horrible as it could have been.&nbsp;&nbsp; 
 
 on friday, starting out with an alliance of 10 people that would eventually grow to 12 and then shrink back to five as the night went on, we managed to obtain 7/8 of the needed exoray molds in a mere 5 hours.&nbsp;&nbsp;during this time we&nbsp; somehow  (read: i blame everything on dynastey) &nbsp;managed to aggro nearly everything in the nest at least once,&nbsp;and in the case of water&nbsp;elementals&nbsp;- two or three times. 
 
 saturday turned out better.&nbsp;on our trek to eldeime dyn only managed to aggro half of the mobs in the glacier -- a personal best!&nbsp; even with a smaller group than the night before, we were still able to dispatch anything that came our way.&nbsp; in a mere four hours we were rewarded with 4/8 papyrus and only one death and level down.&nbsp; it was just shari, so it wasn't so bad. :) 
 
 the next outing for genkai items will probably be posted here, hopefully by shari.&nbsp; if not, check our  urllink newly created forums &nbsp;for more information.&nbsp; arrr! p) 
 
 

    
","['\n\n\n\t \n\n      until genkai 1 is done!', ""thanks to shari's deft handling of getting the genkai 1 alliance going&nbsp;on friday/saturday, our genkai experience was only mildly horrible instead of as excruciatingly horrible as it could have been.&nbsp;&nbsp; \n \n on friday, starting out with an alliance of 10 people that would eventually grow to 12 and then shrink back to five as the night went on, we managed to obtain 7/8 of the needed exoray molds in a mere 5 hours.&nbsp;&nbsp;during this time we&nbsp; somehow  (read: i blame everything on dynastey) &nbsp;managed to aggro nearly everything in the nest at least once,&nbsp;and in the case of water&nbsp;elementals&nbsp;- two or three times."", ""saturday turned out better.&nbsp;on our trek to eldeime dyn only managed to aggro half of the mobs in the glacier -- a personal best!&nbsp; even with a smaller group than the night before, we were still able to dispatch anything that came our way.&nbsp; in a mere four hours we were rewarded with 4/8 papyrus and only one death and level down.&nbsp; it was just shari, so it wasn't so bad."", ':) \n \n the next outing for genkai items will probably be posted here, hopefully by shari.&nbsp; if not, check our  urllink newly created forums &nbsp;for more information.&nbsp; arrr!', 'p)']","['p', ')']"
"22,July,2004","


	 

      no xp fun was to be had last night as shorty the whm was mia.&nbsp; the rest of the swashbucklers enjoyed individual pursuits that were generally successul.
 
    sharkky  ran around the jungles of yhoator trying to find a specific tree.&nbsp; no word of whether or not he actually found his tree.&nbsp; search parties have been dispatched.   dynastey  spent his time fishing until he realized that the moon was not in his favor, and then tried his luck at cooking dog food.&nbsp; your dog will need some tums.   shari  went off to level his lvl 6 thf.&nbsp; armed with a stack of mithkabobs and a toothpick, our intrepid taru braved the wilds of sarutabaruta and just might have realized the wonders of farming.&nbsp; could this be true?&nbsp; the count on the ""shari beg-o-meter"" has been reset. ^^;   skellington  ran around the maze of shakrami in search of a new place to farm, and instead found many lowbies who died horrible deaths at the hands of linking bats.&nbsp; stonega should require a license to operate.   tomorrow, genkai madness! 

    
","['\n\n\n\t \n\n      no xp fun was to be had last night as shorty the whm was mia.&nbsp; the rest of the swashbucklers enjoyed individual pursuits that were generally successul.', 'sharkky  ran around the jungles of yhoator trying to find a specific tree.&nbsp; no word of whether or not he actually found his tree.&nbsp; search parties have been dispatched.', 'dynastey  spent his time fishing until he realized that the moon was not in his favor, and then tried his luck at cooking dog food.&nbsp; your dog will need some tums.', 'shari  went off to level his lvl 6 thf.&nbsp; armed with a stack of mithkabobs and a toothpick, our intrepid taru braved the wilds of sarutabaruta and just might have realized the wonders of farming.&nbsp; could this be true?&nbsp; the count on the ""shari beg-o-meter"" has been reset.', '^^;   skellington  ran around the maze of shakrami in search of a new place to farm, and instead found many lowbies who died horrible deaths at the hands of linking bats.&nbsp; stonega should require a license to operate.', 'tomorrow, genkai madness!']","['tomorrow', ',', 'genkai', 'madness', '!']"
"21,July,2004","


	 

      hello!  since i seem to be the primary user of this device, i'm going to lay out the schedule for the next several days :)  let me know if you have any problems with any of these (comments, find me in-game, etc.)  also, we may soon have a messageboard/forum, so stay tuned for that, courtesy of ecks.
  
  wednesday: 10pm jeuno xp party
  thursday: off
  friday: 10pm jeuno, genkai 1 hunt -- crawler's nest, then eldieme necropolis, then garlaige citadel
  saturday: 10pm jeuno, genkai 1 hunt -- continued
  sunday: off
  monday: 10pm jeuno xp party
  tuesday: off
  

    
","['\n\n\n\t \n\n      hello!', ""since i seem to be the primary user of this device, i'm going to lay out the schedule for the next several days :)  let me know if you have any problems with any of these (comments, find me in-game, etc.)"", 'also, we may soon have a messageboard/forum, so stay tuned for that, courtesy of ecks.', ""wednesday: 10pm jeuno xp party\n  thursday: off\n  friday: 10pm jeuno, genkai 1 hunt -- crawler's nest, then eldieme necropolis, then garlaige citadel\n  saturday: 10pm jeuno, genkai 1 hunt -- continued\n  sunday: off\n  monday: 10pm jeuno xp party\n  tuesday: off""]","['wednesday', ':', '10pm', 'jeuno', 'xp', 'party', 'thursday', ':', 'off', 'friday', ':', '10pm', 'jeuno', ',', 'genkai', '1', 'hunt', '--', 'crawler', ""'s"", 'nest', ',', 'then', 'eldieme', 'necropolis', ',', 'then', 'garlaige', 'citadel', 'saturday', ':', '10pm', 'jeuno', ',', 'genkai', '1', 'hunt', '--', 'continued', 'sunday', ':', 'off', 'monday', ':', '10pm', 'jeuno', 'xp', 'party', 'tuesday', ':', 'off']"
"20,July,2004","


	 

      tuesday july 20, 10pm static run with the following proposed static lineup: shari (blm/whm), shortcakes (whm/blm), sakari (brd/whm), skellington (pld/war), dynastey (drk/war), sharkky (thf/nin), 'roundabouts level 47.
  
  be in jeuno, ready to play, at 10pm.  ""bad things"" will happen after 10:30! >=)
  
  shari
 

    
","[""\n\n\n\t \n\n      tuesday july 20, 10pm static run with the following proposed static lineup: shari (blm/whm), shortcakes (whm/blm), sakari (brd/whm), skellington (pld/war), dynastey (drk/war), sharkky (thf/nin), 'roundabouts level 47.\n  \n  be in jeuno, ready to play, at 10pm."", '""bad things"" will happen after 10:30!', '>=)\n  \n  shari']","['>', '=', ')', 'shari']"
"15,July,2004","


	 

      after some minor confusions and some deaths, we picked up a few xp last night.  woot.  heh.  ok, next static run for 46+ will be friday night, at 10pm edt!  if you need a blogger account to post messages here, you should email me: 0@zeroaltitude.org.  i get lots of spam so think of a good subject line.  post *all* desired static runs here!  and if you have a conflict with a suggested run, post a comment!  no thursday runs, as shari can't go.  thank you!

    
","['\n\n\n\t \n\n      after some minor confusions and some deaths, we picked up a few xp last night.', 'woot.', 'heh.', 'ok, next static run for 46+ will be friday night, at 10pm edt!', 'if you need a blogger account to post messages here, you should email me: 0@zeroaltitude.org.', 'i get lots of spam so think of a good subject line.', 'post *all* desired static runs here!', 'and if you have a conflict with a suggested run, post a comment!', ""no thursday runs, as shari can't go."", 'thank you!']","['thank', 'you', '!']"
"13,July,2004","


	 

      tonight, tuesday, we're heading for 44/45!  come at 10pm (7 pdt)!  do not fall asleep!

    
","[""\n\n\n\t \n\n      tonight, tuesday, we're heading for 44/45!"", 'come at 10pm (7 pdt)!', 'do not fall asleep!']","['do', 'not', 'fall', 'asleep', '!']"
"12,July,2004","


	 

      congratulations to dynastey for finishing drk af1 this weekend.  dynastey, joboms, and skellington (me ^^) were on hand to kick the ass of vaa huja the erudite.  shari was called in as supermeganukemasu reinforcements after dyn and i died the first time through.  the second time around was a breeze and we ended up victorious.  congrats dyn!
 
 let it be known that waterga ii is a bitch.  spread the word!  amen!

    
","['\n\n\n\t \n\n      congratulations to dynastey for finishing drk af1 this weekend.', 'dynastey, joboms, and skellington (me ^^) were on hand to kick the ass of vaa huja the erudite.', 'shari was called in as supermeganukemasu reinforcements after dyn and i died the first time through.', 'the second time around was a breeze and we ended up victorious.', 'congrats dyn!', 'let it be known that waterga ii is a bitch.', 'spread the word!', 'amen!']","['amen', '!']"
"11,July,2004","


	 

      congratulations on 4 successful bcnm runs, several members' first times.  the next meeting of the static party will be monday, july 12, 2004, 10pm edt.  if you have any issues, post a comment!

    
","[""\n\n\n\t \n\n      congratulations on 4 successful bcnm runs, several members' first times."", 'the next meeting of the static party will be monday, july 12, 2004, 10pm edt.', 'if you have any issues, post a comment!']","['if', 'you', 'have', 'any', 'issues', ',', 'post', 'a', 'comment', '!']"
"09,July,2004","


	 

      shari is a man, baby, yeah!

    
","['\n\n\n\t \n\n      shari is a man, baby, yeah!']","['shari', 'is', 'a', 'man', ',', 'baby', ',', 'yeah', '!']"
